timestamp.0,integration_long.0,integration_long.1,integration_long.2,integration_long.3,integration_long.4,integration_long.5,integration_long.6,integration_long.7,integration_long.8,integration_long.9,integration_long.10,integration_long.11,integration_long.12,integration_long.13,integration_long.14,integration_long.15,integration_short.0,integration_short.1,integration_short.2,integration_short.3,integration_short.4,integration_short.5,integration_short.6,integration_short.7,integration_short.8,integration_short.9,integration_short.10,integration_short.11,integration_short.12,integration_short.13,integration_short.14,integration_short.15,
0.00529805,,11529.2,,,,,,,,,,,,,,,,7466.8,,,,,,,,,,,,,,,
0.00529946,,8140.75,,,,,,,,,,,,,,,,5340.59,,,,,,,,,,,,,,,
0.00530315,,8709.29,,,,,,,,,,,,,,,,5670.2,,,,,,,,,,,,,,,
0.00531552,,4784.62,,,,,,,,,,,,,,,,2908.35,,,,,,,,,,,,,,,
0.00532668,,3009.59,,,,,,,,,,,,,,,,1829.33,,,,,,,,,,,,,,,
0.00532792,,4309.37,,,,,,,,,,,,,,,,2759.74,,,,,,,,,,,,,,,
0.00533437,,8559.28,,,,,,,,,,,,,,,,2767,,,,,,,,,,,,,,,
0.00533788,,5376.15,,,,,,,,,,,,,,,,3362.56,,,,,,,,,,,,,,,
0.00533968,,29643.3,,,,,,,,,,,,,,,,19699.8,,,,,,,,,,,,,,,
0.00534425,,3537.02,,,,,,,,,,,,,,,,2375.32,,,,,,,,,,,,,,,
0.00535078,,3680.89,,,,,,,,,,,,,,,,2166.93,,,,,,,,,,,,,,,
0.00536249,,11946.7,,,,,,,,,,,,,,,,6486.58,,,,,,,,,,,,,,,
0.0053689,,5932.29,,,,,,,,,,,,,,,,3614.74,,,,,,,,,,,,,,,
0.00538601,,12282.5,,,,,,,,,,,,,,,,8089.04,,,,,,,,,,,,,,,
0.00539738,,3811,,,,,,,,,,,,,,,,2259.19,,,,,,,,,,,,,,,
0.0053987,,5836.19,,,,,,,,,,,,,,,,4140.41,,,,,,,,,,,,,,,
0.00540511,,8591.09,,,,,,,,,,,,,,,,5194.69,,,,,,,,,,,,,,,
0.00540732,,5322.86,,,,,,,,,,,,,,,,1849.72,,,,,,,,,,,,,,,
0.0054084,,0.311412,,,,,,,,,,,,,,,,3994.11,,,,,,,,,,,,,,,
0.00540928,,0.895861,,,,,,,,,,,,,,,,4823.06,,,,,,,,,,,,,,,
0.00541693,,6110.33,,,,,,,,,,,,,,,,3844.26,,,,,,,,,,,,,,,
0.00542819,,5849.48,,,,,,,,,,,,,,,,3716.32,,,,,,,,,,,,,,,
0.00543375,,4742.38,,,,,,,,,,,,,,,,2970.92,,,,,,,,,,,,,,,
0.00543648,,7254.51,,,,,,,,,,,,,,,,4451.12,,,,,,,,,,,,,,,
0.00543952,,4365.79,,,,,,,,,,,,,,,,2612.19,,,,,,,,,,,,,,,
0.00544564,,9435.64,,,,,,,,,,,,,,,,4851.26,,,,,,,,,,,,,,,
0.00545223,,3484.19,,,,,,,,,,,,,,,,2172.93,,,,,,,,,,,,,,,
0.00545743,,14647.4,,,,,,,,,,,,,,,,9205.04,,,,,,,,,,,,,,,
